,Fe,Mn,Ni,Co,Cr,del_G,del_H,Cp_FCC,VASP-PAW-GGA LSE_Avg,VASP-PAW-GGA LSE_Var,SGTE LSE_Avg,SGTE LSE_Var,Allen EN_Avg,Allen EN_Var,Pauling EN_Avg,Pauling EN_Var,Density_Avg,Density_Var,Atomic Weight_Avg,Atomic Weight_Var,Valence e_Avg,Valence e_Var,IE_Avg,IE_Var,Melting Point_Avg,Melting Point_Var,Specific Heat_Avg,Specific Heat_Var,Metallic Radius_Avg,Metallic Radius_Var,Shear Modulus_Avg,Shear Modulus_Var,Total Electrons_Avg,Total Electrons_Var,Atomic Planar Density_Avg,Atomic Planar Density_Var,C_11_Avg,C_11_Var,C_12_Avg,C_12_Var,C'_Avg,C'_Var,Heat of fusion_Avg,Heat of fusion_Var
10,25,25,0,50,0,-891.3745510244789,-375.6987549676851,25.5311,-368.75,3650.7030928986815,-102.5,1014.7769139076825,180.75,1789.4250382455252,178.5,1767.150532637217,825.5,8172.452387441606,5716.225,56590.63036123935,825.0,8167.504208753125,75015.0,742648.5242673684,144350.0,1429065.4656977756,2525.0,24997.500765076496,12575.0,124492.50027612105,7750.0,76725.00439882686,2625.0,25987.50132275129,1834.16525,18158.23613453659,24175.0,239337.08221878196,20775.0,205672.8397844499,1700.0,16852.627391596838,1485.0,14701.506351391343
11,25,30,0,45,0,-846.7990161687339,-328.9824820260619,25.612785,-373.85,3701.1903561557056,-105.35,1042.990299811077,180.3,1784.9700409250572,176.85,1750.8155958009968,818.3499999999999,8101.667473829075,5696.25,56392.87791621341,815.0,8068.504508271653,74799.5,740515.0773121705,143105.0,1416740.0284297045,2532.5,25071.750841335353,12585.0,124591.5002919541,7750.0,76725.00439882686,2615.0,25888.501405063987,1831.2654499999999,18129.52812392766,24695.0,244485.19130000492,21025.0,208147.82253244927,1835.0,18187.864223157154,1470.0,14553.006493505045
12,25,35,0,40,0,-791.0765407731469,-272.204106904222,25.748634,-378.95000000000005,3751.6776237438103,-108.2,1071.203694915211,179.85000000000002,1780.5150424806864,175.2,1734.4806444581616,811.2,8030.8824980820145,5676.275,56195.12540057166,805.0,7969.50468975331,74584.0,738381.6297456215,141860.0,1404414.5812259284,2540.0,25146.0008947745,12595.0,124690.50029974215,7750.0,76725.00439882686,2605.0,25789.501449233176,1828.3656500000002,18100.820108702967,25215.0,249633.2850502913,21275.0,210622.80271850908,1970.0,19523.264583567983,1455.0,14404.506482347808
13,25,40,0,35,0,-721.2679644138825,-200.7631930940533,25.892233,-384.04999999999995,3802.164895490462,-111.05,1099.417098511752,179.4,1776.0600429039555,173.55,1718.1456781949544,804.05,7960.0974585428285,5656.3,55997.372813566,795.0,7870.504748743882,74368.5,736248.1815624064,140615.0,1392089.1238225375,2547.5,25220.250925595486,12605.0,124789.50029950436,7750.0,76725.00439882686,2595.0,25690.501454817888,1825.46585,18072.112088840502,25735.0,254781.36439896855,21525.0,213097.7804318947,2105.0,20858.797065027502,1440.0,14256.006313129916
14,25,45,0,30,0,-653.3806635807723,-237.523531550512,27.85412,-389.15,3852.6521712321755,-113.9,1127.6305099632593,178.95,1771.605042186322,171.9,1701.810696581732,796.8999999999999,7889.312353494441,5636.325,55799.62015443765,785.0,7771.504680562189,74153.0,734114.7327571488,139370.0,1379763.6559461914,2555.0,25294.500933997493,12615.0,124888.5002912598,7750.0,76725.00439882686,2585.0,25591.501421370336,1822.56605,18043.404064318136,26255.0,259929.43020173765,21775.0,215572.75575777196,2240.0,22194.437816714348,1425.0,14107.505980859974
15,25,50,0,25,0,-604.616448500441,-304.8693973945265,27.570322,-394.25,3903.1394508139215,-116.75,1155.8439286945274,178.5,1767.1500403191576,170.25,1685.475699172195,789.75,7818.527181157588,5616.349999999999,55601.86742241711,775.0,7672.50448028543,73937.5,731981.2833244099,138125.0,1367438.177313695,2562.5,25368.75092017737,12625.0,124987.5002750275,7750.0,76725.00439882686,2575.0,25492.50134843578,1819.66625,18014.696035113593,26775.0,265077.4832478232,22025.0,218047.72877743992,2375.0,23530.168401437335,1410.0,13959.005480334192
16,25,55,0,20,0,-547.1549349549059,-255.2524571475374,27.472693,-399.34999999999997,3953.6267340885884,-119.6,1184.0573541851763,178.05,1762.6950372937458,168.6,1669.140685502573,782.5999999999999,7747.741939687975,5596.375,55404.11461672386,765.0,7573.504142733402,73722.0,729847.8332586868,136880.0,1355112.687631549,2570.0,25443.000884329664,12635.0,125086.50025082643,7750.0,76725.00439882686,2565.0,25393.501235552376,1816.76645,17985.988001204445,27295.0,270225.52426630614,22275.0,220522.69956854783,2510.0,24865.974342462432,1395.0,13810.504806124938
17,30,20,0,50,0,-994.287099279074,-366.1686876452459,25.468476,-392.5,3885.833016870385,-108.7,1076.1586281770917,181.0,1791.900033484011,179.9,1781.0104483129794,827.7,8194.232215711245,5720.76,56635.52671536551,830.0,8217.003711816127,75241.0,744885.9207417603,145810.0,1443519.401563415,2519.0,24938.10065141289,12570.0,124443.00024509213,7780.0,77022.00490768856,2630.0,26037.00117140989,1835.5978999999998,18172.41935163359,22190.0,219686.3293653021,20970.0,207603.3683493599,610.0,6108.123279698929,1488.0,14731.206060604814
18,30,25,0,45,0,-953.6629274445368,-388.5856372232283,25.535743,-397.59999999999997,3936.320072732907,-111.55000000000001,1104.371899995649,180.55,1787.445036777355,178.25,1764.67552329033,820.55,8123.447319734399,5700.785,56437.77428583541,820.0,8118.004065039632,75025.5,742752.4744229736,144565.0,1431193.9758100577,2526.5,25012.350746181375,12580.0,124542.00026497085,7780.0,77022.00490768856,2620.0,25938.0012722646,1832.6981,18143.71134327872,22710.0,224834.47678236538,21220.0,210078.34859880255,745.0,7433.379110471899,1473.0,14582.706230326387
19,30,30,0,40,0,-886.7323303412704,-320.9993931759996,25.656441,-402.69999999999993,3986.807137923779,-114.4,1132.5851862001375,180.10000000000002,1782.990038951424,176.6,1748.340584096817,813.4,8052.66236210112,5680.8099999999995,56240.02178585486,810.0,8019.004302280926,74810.0,740619.0274983488,143320.0,1418868.540422262,2534.0,25086.600817966548,12590.0,124641.00027679495,7780.0,77022.00490768856,2610.0,25839.001335190955,1829.7983,18115.00333031883,23230.0,229982.605842268,21470.0,212553.32636776118,880.0,8762.030586570672,1458.0,14434.206247660451
