Property,Fe,Cr,Ni,Co,Mn,
Rm,127.4,136,124.6,125.2,130.4,
Ri,59,62,59,62,60,
Rc,116,118,115,116,117,
Vm,7.09,7.23,6.59,6.67,7.35,
E,211,279,200,209,198,
K,160,160,177.3,181.5,120,
G,81,115.3,76,82,79.5,
v,0.29,0.21,0.31,0.31,0.245,
Hs,3.75,3.35,4.05,3.9,3.6,
VEC,8,6,10,9,7,
Ew,4.5,4.5,5.15,5,4.1,
Xp,1.8,1.6,1.9,1.9,1.5,
Xa,1.8,1.65,1.88,1.84,1.75,
Xm,1.67,2,1.76,1.72,2.04,
Xr,1.64,1.56,1.75,1.7,1.6,
Ec,4.28,4.1,4.44,4.39,2.92,
Tm,1538,1907,1455,1495,1246,
