Fe,Mn,Ni,Co,Cr,dHmix,VEC,EN paulings,δ,dSmix,EN allen,Ω,Λ,PHASES
0.2,0.2,0.0,0.6,0.0,-2.88,8.399999999999999,0.15491933384829665,2.073624695192382,7.900988875587051,0.03555277766926239,3988.353342822381,3.8102308937124376,FCC_SS
0.2,0.25,0.0,0.55,0.0,-3.19,8.3,0.16613247725836144,2.070528770594167,8.291776799648673,0.03761316258971057,3746.505482813046,4.004666304283824,FCC_SS
0.2,0.3,0.0,0.5,0.0,-3.4,8.2,0.1743559577416269,2.054275657367897,8.56101149510871,0.039051248379533304,3597.890978047305,4.167411254864289,FCC_SS
0.2,0.35,0.0,0.45,0.0,-3.51,8.1,0.17999999999999997,2.024416100073226,8.718992731013095,0.0399343210784909,3518.5234341434475,4.306917303561119,FCC_SS
0.2,0.4,0.0,0.4,0.0,-3.5200000000000005,8.0,0.18330302779823357,1.980198019801983,8.771094301856731,0.04029888335921981,3498.470568126946,4.429402622437643,FCC_SS
0.2,0.45,0.0,0.35,0.0,-3.4299999999999997,7.9,0.18439088914585772,1.9204876096896246,8.718992731013095,0.04015905875391009,3537.2928089916254,4.53998905643666,FCC_PLUS_BCC
0.2,0.5,0.0,0.3,0.0,-3.24,7.799999999999999,0.18330302779823357,1.84363058371855,8.56101149510871,0.03950949253027686,3643.978689168031,4.643561226805749,FCC_PLUS_BCC
0.2,0.55,0.0,0.25,0.0,-2.95,7.700000000000001,0.18,1.7472062608379302,8.291776799648675,0.03832427429188976,3841.3412756745297,4.7457343677741175,FCC_SS
0.2,0.6,0.0,0.2,0.0,-2.5600000000000005,7.6000000000000005,0.17435595774162693,1.6275679354041048,7.900988875587051,0.036551333764994164,4179.499662234368,4.8544756281557815,FCC_SS
0.25,0.2,0.0,0.55,0.0,-2.75,8.350000000000001,0.15321553446044558,2.1599736118479727,8.291776799648673,0.03515679166249392,4389.968156890359,3.838832453399565,FCC_SS
0.25,0.25,0.0,0.5,0.0,-3.0,8.25,0.16393596310755,2.1383343303319484,8.644719482465968,0.036996621467371885,4159.550857646542,4.042735207419126,FCC_SS
0.25,0.3,0.0,0.45,0.0,-3.1500000000000004,8.149999999999999,0.17168284713389392,2.103437893185994,8.872312299003971,0.03822302970723282,4030.7055604728985,4.218005355777551,FCC_SS
0.25,0.35,0.0,0.4,0.0,-3.2,8.049999999999999,0.17684739183827392,2.0544765160404204,8.984006559282228,0.03889408695418884,3982.7224078118024,4.372893284074645,FCC_SS
0.25,0.4,0.0,0.35,0.0,-3.15,7.950000000000001,0.1796524422322168,1.9902745104244743,8.984006559282228,0.0390384425918863,4010.4320074078432,4.513953483414793,FCC_SS
0.25,0.45,0.0,0.3,0.0,-2.9999999999999996,7.85,0.18020821290940098,1.9091497302076075,8.872312299003971,0.03866199684444665,4121.7805503739455,4.647258493465133,FCC_PLUS_BCC
0.25,0.5,0.0,0.25,0.0,-2.75,7.75,0.17853571071357124,1.8086717608052556,8.644719482465968,0.03774917217635378,4342.006830965861,4.779595540661934,FCC_PLUS_BCC
0.25,0.55,0.0,0.2,0.0,-2.4000000000000004,7.65,0.17457090250096088,1.6852148738747543,8.291776799648675,0.03625948151863182,4729.076701399627,4.920308340611597,FCC_SS
0.3,0.2,0.0,0.5,0.0,-2.6,8.3,0.15132745950421553,2.2164125283482186,8.56101149510871,0.03464101615137758,4801.081100391542,3.862553286273293,FCC_SS
0.3,0.25,0.0,0.45,0.0,-2.79,8.2,0.16155494421403507,2.176717154830517,8.872312299003971,0.03625948151863182,4597.225188191789,4.076006053112944,FCC_SS
0.3,0.3,0.0,0.4,0.0,-2.8800000000000003,8.1,0.1688194301613413,2.1231789386223325,9.053618139915848,0.03726929030716848,4505.432471572011,4.264180458473496,FCC_SS
0.3,0.35,0.0,0.35,0.0,-2.8699999999999997,8.0,0.1734935157289747,2.0545817294686866,9.113210829350468,0.03771935842508463,4511.356894006857,4.4355552756264105,FCC_SS
0.3,0.4,0.0,0.3,0.0,-2.76,7.9,0.17578395831246946,1.9692109597077765,9.053618139915848,0.03762977544445359,4619.641458856337,4.597586711207097,FCC_PLUS_BCC
0.3,0.45,0.0,0.25,0.0,-2.55,7.8,0.17578395831246943,1.8646133156680726,8.872312299003971,0.03699662146737189,4856.634165711644,4.758258575357813,FCC_PLUS_BCC
0.3,0.5,0.0,0.2,0.0,-2.24,7.7,0.1734935157289747,1.737155825109907,8.56101149510871,0.03579106033634659,5287.188974255977,4.92817706469543,FCC_SS
0.35,0.2,0.0,0.45,0.0,-2.43,8.25,0.14924811556599296,2.244802183165682,8.718992731013095,0.03400000000000003,5239.4687800254615,3.884080653698105,FCC_SS
0.35,0.25,0.0,0.4,0.0,-2.56,8.15,0.15898113095584643,2.186816222729903,8.984006559282228,0.03539420856580921,5080.876834581566,4.108258602575703,FCC_SS
0.35,0.3,0.0,0.35,0.0,-2.5899999999999994,8.05,0.16575584454250772,2.113894088181122,9.113210829350468,0.03618010503025112,5050.442920427875,4.3111009583227675,FCC_SS
0.35,0.35,0.0,0.3,0.0,-2.52,7.949999999999999,0.16992645467966425,2.024283969734514,9.113210829350466,0.036397115270306826,5145.709400429673,4.501942892204827,FCC_SS
0.35,0.4,0.0,0.25,0.0,-2.35,7.85,0.17168284713389395,1.915497692735314,8.984006559282228,0.036055512754639925,5392.124277250901,4.690168301092101,FCC_PLUS_BCC
0.35,0.45,0.0,0.2,0.0,-2.08,7.749999999999999,0.17109938632268673,1.7838705483454196,8.718992731013095,0.03513900966162823,5860.169152863609,4.887682426900405,FCC_SS
